Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0310669	29	10	24	123	70	73	17	14	32	75	93	80	51.66	21	83	4.044	2.016	3.987	6.69694173674938e-05	0.00153150796200256	0.0256	1.4298	0.1528	0.1528	TRUE	NA
FBtr0086613	54	26	18	128	63	75	31	36	24	78	84	82	55.7	30	81	2.693	1.429	3.981	6.87059130930609e-05	0.00156710633712	0	1.3268	0.0694	0.0694	TRUE	NA
FBtr0081882	4957	2902	3101	5398	4629	5610	2835	3979	4086	3293	6167	6126	4414.53	3633	5195	1.392	0.477	3.977	6.99111618154431e-05	0.0015904332973837	0.0081	0.026	0.0101	0.0101	TRUE	NA
FBtr0079779	78	53	54	141	102	151	45	73	71	86	136	165	95.88	63	129	2.035	1.025	3.974	7.05600463704266e-05	0.00160310217477321	0.0015	0.7747	0.0358	0.0358	TRUE	NA
FBtr0074874	0	0	0	28	50	24	0	0	0	17	67	26	18.32	0	37	178.818	7.482	3.971	7.15597305935482e-05	0.00162158630081037	0.4518	4.0149	1.5441	1.5441	TRUE	NA
FBtr0071091	3574	1382	1742	4677	2157	2539	2044	1895	2296	2853	2874	2773	2455.71	2078	2833	1.364	0.447	3.966	7.29852454825281e-05	0.0016517414126994	0.0057	0.0393	0.0087	0.0087	TRUE	NA
FBtr0088847	1332	0	0	870	168	396	762	0	0	531	224	432	324.81	254	396	374.61	8.549	3.966	7.32149523095112e-05	0.00165479086763365	4.2448	0.2353	2.7531	2.7531	TRUE	NA
FBtr0081544	228	71	115	429	208	243	130	97	152	262	277	265	197.25	126	268	2.116	1.081	3.965	7.34710879863393e-05	0.00165628354366099	0.0174	0.3814	0.0475	0.0475	TRUE	NA
FBtr0339682	41	0	0	440	28	14	23	0	0	268	37	15	57.41	8	107	33.238	5.055	3.958	7.56109817864798e-05	0.00170012512078864	0.5397	1.2874	0.6982	0.6982	TRUE	NA
FBtr0114627	493	247	245	634	372	418	282	339	323	387	496	456	380.39	315	446	1.414	0.499	3.943	8.05806958597433e-05	0.00179565115863413	0	0.2023	0.0088	0.0088	TRUE	NA
FBtr0080389	2156	342	394	4655	567	1233	1233	469	519	2840	755	1346	1193.82	740	1647	2.186	1.128	3.937	8.23556185200131e-05	0.00183137228970801	0.0554	0.0708	0.0578	0.0578	TRUE	NA
FBtr0346633	963	86	112	1397	169	197	551	118	148	852	225	215	351.47	272	431	1.611	0.688	3.937	8.24034173111974e-05	0.00183137228970801	0.0012	0.2181	0.017	0.017	TRUE	NA
FBtr0112863	675	45	23	1607	108	104	386	62	30	980	144	114	285.98	159	413	2.698	1.432	3.936	8.28262413224678e-05	0.00183629781334011	0.0498	0.266	0.0831	0.0831	TRUE	NA
FBtr0100298	72	20	15	170	67	62	41	27	20	104	89	68	58.18	29	87	2.986	1.578	3.925	8.67704601468244e-05	0.00191886045497279	0	1.2706	0.0911	0.0911	TRUE	NA
FBtr0334633	11	13	11	34	47	50	6	18	14	21	63	55	29.43	13	46	3.517	1.814	3.904	9.47232090606171e-05	0.00207890005175103	0	2.5026	0.1011	0.1011	TRUE	NA
FBtr0333972	425	0	0	529	197	226	243	0	0	323	262	247	179.18	81	277	284.882	8.154	3.896	9.77316292000833e-05	0.00213953689753851	3.6984	0.4189	2.5637	2.5637	TRUE	NA
FBtr0300815	115	0	0	680	25	28	66	0	0	415	33	31	90.75	22	160	27.451	4.779	3.889	0.000100826746044574	0.00219625859571593	0.6462	0.8179	0.698	0.698	TRUE	NA
FBtr0335278	628	453	274	2707	738	1088	359	621	361	1651	983	1188	860.7	447	1274	2.82	1.496	3.883	0.000103214786852477	0.00224546925804152	0.1075	0.0946	0.1053	0.1053	TRUE	NA
FBtr0345429	33	49	36	91	93	126	19	67	47	56	124	138	75.09	44	106	2.479	1.31	3.878	0.000105154718898282	0.00228197525718737	0.0046	0.9866	0.0645	0.0645	TRUE	NA
FBtr0086677	1119	515	574	1346	747	1031	640	706	756	821	995	1126	840.8	701	981	1.39	0.476	3.871	0.000108389303939929	0.00234924379410099	0.004	0.0967	0.0096	0.0096	TRUE	NA
FBtr0332038	104	36	65	258	159	145	59	49	86	157	212	158	120.35	65	176	2.705	1.435	3.867	0.000109961634710671	0.00237740874251631	0.0415	0.6191	0.0883	0.0883	TRUE	NA
FBtr0100501	336	69	60	515	141	158	192	95	79	314	188	173	173.4	122	225	1.894	0.922	3.859	0.000113809580319169	0.0024514780551815	0	0.4325	0.0334	0.0334	TRUE	NA
FBtr0086474	45	11	14	108	41	59	26	15	18	66	55	64	40.7	20	62	3.122	1.643	3.855	0.000115920213528002	0.00248355262794686	0	1.8121	0.0953	0.0953	TRUE	NA
FBtr0086697	226	160	226	370	329	471	129	219	298	226	438	514	304.14	215	393	1.81	0.856	3.852	0.000117098006926393	0.00250374217018323	0.0147	0.2506	0.0318	0.0318	TRUE	NA
FBtr0340212	0	0	0	63	13	30	0	0	0	38	17	33	14.75	0	29	158.253	7.306	3.846	0.000119889918949874	0.00255403634183437	0.1893	4.983	1.583	1.583	TRUE	NA
FBtr0308834	0	0	0	46	20	21	0	0	0	28	27	23	12.94	0	26	140.342	7.133	3.832	0.000126889343929827	0.00268999234467296	0	5.6794	1.4774	1.4774	TRUE	NA
FBtr0073317	2195	938	1056	2456	1279	1506	1255	1286	1392	1498	1704	1645	1463.34	1311	1616	1.23	0.298	3.824	0.000131368983224675	0.00277819890979755	3e-04	0.0595	0.0037	0.0037	TRUE	NA
FBtr0072670	0	0	0	171	113	6	0	0	0	104	151	7	43.57	0	87	473.33	8.887	3.82	0.000133329829123576	0.0028128397122366	3.6319	1.6934	2.8942	2.8942	TRUE	NA
FBtr0073756	3124	1640	1498	3610	2117	2450	1787	2249	1974	2202	2821	2675	2284.61	2003	2566	1.278	0.353	3.817	0.000135007220949377	0.00284134762350706	0.0029	0.0415	0.0057	0.0057	TRUE	NA
FBtr0345005	197	122	118	268	230	307	113	167	155	163	306	335	206.77	145	268	1.785	0.836	3.816	0.000135805293204129	0.00285469606679752	0.0093	0.3642	0.0292	0.0292	TRUE	NA
FBtr0085105	53	17	24	119	57	64	30	23	32	73	76	70	50.61	28	73	2.549	1.35	3.8	0.000144658898297005	0.00302257309559186	0	1.4591	0.0657	0.0657	TRUE	NA
FBtr0079902	22	146	110	108	268	399	13	200	145	66	357	436	202.73	119	286	2.93	1.551	3.795	0.000147897430651142	0.00308284763938613	0.0778	0.3713	0.1098	0.1098	TRUE	NA
FBtr0087560	15932	6542	5745	17878	9004	11103	9112	8970	7571	10907	11997	12125	10113.36	8551	11676	1.365	0.449	3.785	0.000153656189126379	0.00318763422823367	0.0089	0.0166	0.01	0.01	TRUE	NA
FBtr0301304	536	216	292	739	486	540	307	296	385	451	648	590	445.93	329	563	1.689	0.756	3.776	0.000159174100301652	0.00329817820672603	0.0138	0.1739	0.0264	0.0264	TRUE	NA
FBtr0340437	1895	1245	1527	2216	2038	2653	1084	1707	2012	1352	2715	2897	1961.24	1601	2321	1.416	0.502	3.771	0.000162331077303093	0.003355612518486	0.0086	0.0468	0.0122	0.0122	TRUE	NA
FBtr0083273	795	278	213	1879	442	483	455	381	281	1146	589	527	563.2	372	754	1.936	0.953	3.77	0.000163011005052526	0.00336567508773142	0.0324	0.1397	0.0437	0.0437	TRUE	NA
FBtr0299615	595	419	369	792	566	664	340	574	486	483	754	725	560.57	467	654	1.403	0.489	3.768	0.000164314109159876	0.00338856528546746	0.0018	0.1403	0.0102	0.0102	TRUE	NA
