Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0046214	7975	2882	3075	9056	3982	4379	4017	4504	4382	4618	5569	5367	4742.84	4301	5185	1.202	0.266	3.792	0.000149717699591769	0.0016324530614829	7e-04	0.0051	0.0033	0.0033	TRUE	NA
FBgn0039696	1181	394	451	1430	606	687	595	616	643	729	848	842	712.01	618	806	1.298	0.376	3.786	0.000153303327613695	0.00166747712008562	0	0.0082	0.0056	0.0056	TRUE	NA
FBgn0004872	1680	562	532	2629	805	766	846	878	758	1341	1126	939	981.32	827	1135	1.368	0.453	3.784	0.000154617970973846	0.00167973051191781	0.0137	0.0072	0.0091	0.0091	TRUE	NA
FBgn0020653	7743	3042	3474	8757	4274	4858	3900	4754	4950	4466	5978	5954	5000.31	4535	5466	1.2	0.263	3.78	0.000157110785868836	0.00170266907501057	6e-04	0.0051	0.0033	0.0033	TRUE	NA
FBgn0012037	1335	427	582	1757	678	859	672	667	829	896	948	1053	844.35	723	966	1.335	0.417	3.766	0.000166103649821612	0.00179576948293825	0.0073	0.0076	0.0075	0.0075	TRUE	NA
FBgn0023512	2113	984	1144	2598	1396	1574	1064	1538	1630	1325	1953	1929	1573.12	1411	1736	1.232	0.301	3.765	0.000166617703339554	0.00179799590233757	0	0.0062	0.0039	0.0039	TRUE	NA
FBgn0033032	553	139	156	826	225	237	279	217	222	421	315	290	290.74	239	342	1.429	0.515	3.765	0.000166712274035331	0.00179799590233757	0	0.0135	0.0096	0.0096	TRUE	NA
FBgn0039006	1071	359	366	1492	489	557	539	561	522	761	684	683	624.91	541	709	1.317	0.397	3.76	0.000170119342591815	0.00182372836656051	0	0.0087	0.0063	0.0063	TRUE	NA
FBgn0261989	11	6	3	74	17	17	6	9	4	38	24	21	16.92	6	28	4.513	2.174	3.754	0.000174082131578169	0.00186397294363675	0.0534	0.1587	0.134	0.134	TRUE	NA
FBgn0015245	13464	6175	7054	14944	8576	10351	6781	9650	10051	7621	11995	12687	9797.57	8827	10768	1.208	0.272	3.751	0.000176420157730769	0.00188223656933783	0.002	0.0048	0.0037	0.0037	TRUE	NA
FBgn0265274	69	17	26	140	50	59	35	27	37	71	70	72	52	33	71	2.154	1.107	3.734	0.000188157679971948	0.00199791686343579	0	0.0547	0.0399	0.0399	TRUE	NA
FBgn0030871	972	393	476	1260	645	652	490	614	678	643	902	799	687.63	594	781	1.314	0.394	3.73	0.000191307714843777	0.00202895236764243	0.0019	0.0083	0.0065	0.0065	TRUE	NA
FBgn0031688	42	5	16	116	40	30	21	8	23	59	56	37	33.94	17	51	2.901	1.537	3.725	0.00019552296746899	0.0020687441937181	0.0728	0.0814	0.0802	0.0802	TRUE	NA
FBgn0010194	2148	653	719	2630	920	1027	1082	1021	1024	1341	1287	1259	1168.93	1042	1296	1.243	0.314	3.721	0.00019810135726195	0.00209106988220947	0	0.0068	0.0042	0.0042	TRUE	NA
FBgn0037580	3500	1273	1540	4237	1888	2051	1763	1989	2194	2161	2641	2514	2210.3	1982	2439	1.229	0.298	3.721	0.000198774469042367	0.00209569776688116	0.0013	0.0057	0.0041	0.0041	TRUE	NA
FBgn0033924	747	203	226	929	337	369	376	317	322	474	471	452	402.15	338	466	1.369	0.453	3.711	0.000206235965794491	0.00216669079358212	0	0.011	0.008	0.008	TRUE	NA
FBgn0000064	14102	5007	5231	15720	6619	7916	7103	7825	7454	8016	9258	9703	8226.3	7461	8992	1.202	0.265	3.7	0.000215729649890989	0.0022572983112845	0.0021	0.0048	0.0036	0.0036	TRUE	NA
FBgn0024277	11292	4233	4078	14182	5341	6017	5687	6615	5811	7232	7470	7375	6698.44	6038	7359	1.22	0.287	3.694	0.000220728759578263	0.00230269605494614	0.0029	0.0049	0.0042	0.0042	TRUE	NA
FBgn0032409	1476	537	569	1747	767	888	743	839	811	891	1073	1088	907.58	798	1017	1.268	0.343	3.691	0.00022319981528133	0.00232304702851082	0	0.0074	0.005	0.005	TRUE	NA
FBgn0053193	505	193	191	629	298	364	254	302	272	321	417	446	335.31	276	395	1.409	0.495	3.691	0.000222957608193577	0.00232304702851082	0.0034	0.0123	0.0097	0.0097	TRUE	NA
FBgn0032881	365	102	125	537	165	223	184	159	178	274	231	273	216.55	174	259	1.492	0.578	3.679	0.000234156355821009	0.00242296205965424	0	0.0166	0.0126	0.0126	TRUE	NA
FBgn0030467	1423	462	554	1796	705	766	717	722	789	916	986	939	844.82	743	947	1.274	0.35	3.674	0.000238360536468134	0.00246076253255542	0	0.0076	0.0053	0.0053	TRUE	NA
